name_zh,zhou,jun
鲍信,兖州,济南国
鲍勋,兖州,济南国
毕谌,兖州,济南国
毕轨,兖州,济南国
步骘,徐州,下邳郡
蔡瑁,荆州,南郡
蔡邕,兖州,颍川郡
仓慈,扬州,淮南郡
曹昂,豫州,谯郡
曹彪,豫州,谯郡
曹不兴,扬州,吴郡
曹操,豫州,谯郡
曹冲,豫州,谯郡
曹纯,豫州,谯郡
曹芳,豫州,谯郡
曹干,豫州,谯郡
曹贡,豫州,谯郡
曹衮,豫州,谯郡
曹洪,豫州,谯郡
曹奂,豫州,谯郡
曹徽,豫州,谯郡
曹鉴,豫州,谯郡
曹矩,豫州,谯郡
曹均,豫州,谯郡
曹礼,豫州,谯郡
曹霖,豫州,谯郡
曹髦,豫州,谯郡
曹丕,豫州,谯郡
曹仁,豫州,谯郡
曹叡,豫州,谯郡
曹爽,豫州,谯郡
曹铄,豫州,谯郡
曹嵩,豫州,谯郡
曹腾,豫州,谯郡
曹协,豫州,谯郡
曹熊,豫州,谯郡
曹休,豫州,谯郡
曹玹,豫州,谯郡
曹俨,豫州,谯郡
曹邕,豫州,谯郡
曹宇,豫州,谯郡
曹彰,豫州,谯郡
曹真,豫州,谯郡
曹植,豫州,谯郡
陈表,扬州,庐江郡
陈到,豫州,汝南郡
陈登,徐州,下邳郡
陈宫,兖州,东郡
陈珪,徐州,下邳郡
陈琳,徐州,广陵郡
陈群,豫州,颍川郡
陈寿,益州,巴郡
陈泰,豫州,颍川郡
陈武,扬州,庐江郡
陈震,荆州,南阳郡
陈祗,豫州,汝南郡
程秉,豫州,汝南郡
程畿,益州,巴郡
程普,幽州,右北平郡
程昱,兖州,东郡
成公英,凉州,金城郡
淳于琼,豫州,颍川郡
崔林,冀州,河内郡
崔琰,冀州,河内郡
邓艾,荆州,南阳郡
邓芝,荆州,南阳郡
邓忠,荆州,南阳郡
典满,兖州,陈留郡
典韦,兖州,陈留郡
丁奉,扬州,庐江郡
丁仪,豫州,谯郡
丁原,兖州,济南国
