name_zh,zhou,jun,power,posx,posy
鲍信,兖州,济南国,他,764,173
鲍勋,兖州,济南国,魏,750,172
毕谌,兖州,济南国,魏,774,167
毕轨,兖州,济南国,魏,781,164
步骘,徐州,下邳郡,吴,756,268
蔡瑁,荆州,南郡,魏,542,407
蔡邕,兖州,颍川郡,他,603,256
仓慈,扬州,淮南郡,魏,725,349
曹昂,豫州,谯郡,魏,599,299
曹彪,豫州,谯郡,魏,613,306
曹不兴,扬州,吴郡,他,816,380
曹操,豫州,谯郡,魏,626,314
曹冲,豫州,谯郡,魏,600,314
曹纯,豫州,谯郡,魏,600,307
曹芳,豫州,谯郡,魏,616,313
曹干,豫州,谯郡,魏,609,317
曹贡,豫州,谯郡,魏,600,323
曹衮,豫州,谯郡,魏,603,331
曹洪,豫州,谯郡,魏,612,330
曹奂,豫州,谯郡,魏,617,338
曹徽,豫州,谯郡,魏,630,338
曹鉴,豫州,谯郡,魏,628,346
曹矩,豫州,谯郡,魏,622,322
曹均,豫州,谯郡,魏,627,322
曹礼,豫州,谯郡,魏,618,329
曹霖,豫州,谯郡,魏,623,332
曹髦,豫州,谯郡,魏,629,329
曹丕,豫州,谯郡,魏,638,332
曹仁,豫州,谯郡,魏,639,343
曹叡,豫州,谯郡,魏,646,339
曹爽,豫州,谯郡,魏,642,355
曹铄,豫州,谯郡,魏,646,346
曹嵩,豫州,谯郡,他,658,332
曹腾,豫州,谯郡,他,643,317
曹协,豫州,谯郡,魏,647,305
曹熊,豫州,谯郡,魏,657,309
曹休,豫州,谯郡,魏,649,318
曹玹,豫州,谯郡,魏,660,318
曹俨,豫州,谯郡,魏,668,316
曹邕,豫州,谯郡,魏,682,322
曹宇,豫州,谯郡,魏,673,330
曹彰,豫州,谯郡,魏,669,323
曹真,豫州,谯郡,魏,678,308
曹植,豫州,谯郡,魏,666,283
陈表,扬州,庐江郡,吴,695,398
陈到,豫州,汝南郡,蜀,592,358
陈登,徐州,下邳郡,魏,756,294
陈宫,兖州,东郡,他,690,217
陈珪,徐州,下邳郡,魏,759,312
陈琳,徐州,广陵郡,魏,793,336
陈群,豫州,颍川郡,魏,612,263
陈寿,益州,巴郡,晋,363,392
陈泰,豫州,颍川郡,魏,611,273
陈武,扬州,庐江郡,吴,699,407
陈震,荆州,南阳郡,蜀,512,322
陈祗,豫州,汝南郡,蜀,601,359
程秉,豫州,汝南郡,吴,607,383
程畿,益州,巴郡,蜀,375,401
程普,幽州,右北平郡,吴,773,82
程昱,兖州,东郡,魏,734,224
成公英,凉州,金城郡,魏,264,195
淳于琼,豫州,颍川郡,他,614,284
崔林,冀州,河内郡,魏,601,236
崔琰,冀州,河内郡,魏,619,238
邓艾,荆州,南阳郡,魏,513,314
邓芝,荆州,南阳郡,蜀,528,315
邓忠,荆州,南阳郡,魏,529,329
典满,兖州,陈留郡,魏,638,261
典韦,兖州,陈留郡,魏,644,255
丁奉,扬州,庐江郡,吴,711,392
丁仪,豫州,谯郡,魏,660,300
丁原,兖州,济南国,他,750,198
董承,凉州,天水郡,他,314,234
董旻,凉州,天水郡,他,320,245
董袭,扬州,会稽郡,吴,868,457
董允,荆州,南郡,蜀,553,433
董昭,兖州,济南国,魏,755,188
董卓,凉州,天水郡,他,299,248
杜畿,司隶,京兆尹,魏,417,241
杜夔,司隶,河南尹,魏,486,269
杜琼,益州,蜀郡,蜀,261,414
杜微,益州,蜀郡,蜀,271,420
杜袭,豫州,颍川郡,魏,626,287
杜预,司隶,京兆尹,晋,417,262
法真,司隶,京兆尹,他,410,277
法正,司隶,京兆尹,蜀,419,272
樊稠,凉州,金城郡,他,228,223
樊建,扬州,庐江郡,蜀,688,432
费诗,益州,犍为郡,蜀,190,475
费祎,荆州,江夏郡,蜀,617,413
冯习,荆州,南郡,蜀,550,423
傅佥,荆州,南阳郡,蜀,542,336
傅肜,荆州,南阳郡,蜀,562,329
伏寿,徐州,琅邪国,他,776,220
傅玄,凉州,汉中郡,晋,325,293
傅巽,凉州,汉中郡,魏,342,290
甘宁,益州,巴郡,吴,348,412
高干,兖州,陈留郡,魏,642,244
高柔,兖州,陈留郡,魏,651,251
高翔,荆州,南郡,蜀,543,380
葛玄,扬州,丹阳郡,他,769,428
龚禄,益州,巴郡,蜀,356,400
公孙度,幽州,辽东郡,他,896,53
公孙恭,幽州,辽东郡,魏,907,42
公孙康,幽州,辽东郡,魏,873,55
公孙渊,幽州,辽东郡,他,877,69
公孙瓒,幽州,昌黎郡,他,814,30
顾承,扬州,吴郡,吴,872,396
顾徽,扬州,吴郡,吴,836,387
顾邵,扬州,吴郡,吴,844,376
顾谭,扬州,吴郡,吴,817,403
顾悌,扬州,吴郡,吴,827,411
顾雍,扬州,吴郡,吴,836,398
关靖,并州,太原郡,他,542,158
管辂,青州,平原郡,他,705,161
管宁,青州,北海国,魏,803,199
关平,司隶,河东郡,蜀,457,204
关兴,司隶,河东郡,蜀,464,208
关羽,司隶,河东郡,蜀,462,215
毌丘俭,司隶,河东郡,魏,479,236
郭冲,凉州,金城郡,晋,230,195
郭淮,并州,太原郡,魏,522,169
郭嘉,豫州,颍川郡,魏,630,268
郭配,并州,太原郡,魏,515,156
郭汜,凉州,安定郡,他,370,211
郭图,豫州,颍川郡,他,672,265
郭攸之,荆州,南阳郡,蜀,739,191
国渊,兖州,济南国,魏,750,194
郭智,凉州,金城郡,魏,241,226
韩当,幽州,昌黎郡,吴,787,46
韩馥,豫州,颍川郡,他,631,285
韩浩,司隶,河内郡,魏,632,229
韩暨,荆州,南阳郡,魏,542,350
韩遂,凉州,金城郡,他,276,223
韩玄,司隶,河内郡,蜀,637,220
郝萌,司隶,河内郡,他,639,225
郝昭,并州,太原郡,魏,542,173
何进,荆州,南阳郡,他,539,304
贺齐,扬州,会稽郡,吴,889,462
和洽,豫州,汝南郡,魏,571,372
何晏,荆州,南阳郡,魏,551,313
何颙,荆州,南阳郡,他,542,322
侯成,豫州,谯郡,魏,684,334
侯览,兖州,济南国,他,726,194
胡济,扬州,庐江郡,蜀,707,419
胡综,豫州,汝南郡,吴,592,369
华澹,青州,平原郡,晋,710,163
华佗,豫州,谯郡,他,693,326
华歆,青州,平原郡,魏,727,166
桓范,豫州,谯郡,魏,645,328
桓阶,荆州,长沙郡,魏,565,494
黄权,益州,巴郡,魏,352,425
黄忠,荆州,南阳郡,蜀,530,339
皇甫谧,凉州,安定郡,晋,389,215
皇甫嵩,凉州,安定郡,他,407,210
霍峻,荆州,南郡,蜀,551,403
霍弋,荆州,南郡,魏,556,407
嵇康,豫州,谯郡,魏,637,309
暨艳,扬州,吴郡,吴,869,420
贾充,司隶,河东郡,晋,489,221
贾诩,凉州,武威郡,魏,251,140
简雍,幽州,涿郡,蜀,634,82
蒋干,扬州,淮南郡,魏,698,354
蒋济,扬州,淮南郡,魏,706,352
蒋钦,扬州,淮南郡,吴,717,354
蒋琬,荆州,零陵郡,蜀,498,563
姜维,凉州,天水郡,蜀,334,243
姜叙,凉州,天水郡,他,349,248
金旋,司隶,京兆尹,蜀,429,263
沮授,冀州,安平郡,他,603,154
阚泽,扬州,会稽郡,吴,857,482
孔融,豫州,北海国,他,819,188
孔伷,兖州,陈留郡,他,659,259
蒯良,荆州,南郡,他,526,421
蒯越,荆州,南郡,魏,527,443
来敏,荆州,南阳郡,蜀,557,336
李典,兖州,济南国,魏,742,184
李福,益州,蜀郡,蜀,289,399
李恢,益州,蜀郡,蜀,308,395
李傕,凉州,安定郡,他,376,228
李邈,益州,蜀郡,蜀,289,417
李胜,荆州,南阳郡,魏,544,361
李休,荆州,南阳郡,魏,553,343
李严,荆州,南阳郡,蜀,568,333
李譔,益州,蜀郡,蜀,281,431
凉茂,兖州,济南国,魏,771,174
梁习,豫州,颍川郡,魏,647,267
梁寓,扬州,吴郡,吴,816,388
廖化,荆州,南郡,蜀,544,451
廖立,荆州,武陵郡,蜀,438,481
凌操,扬州,吴郡,吴,876,413
凌统,扬州,吴郡,吴,895,409
刘备,幽州,涿郡,蜀,666,84
刘辩,荆州,南阳郡,他,567,316
刘表,兖州,济南国,他,736,195
刘谌,幽州,涿郡,蜀,674,96
刘宠,青州,东莱郡,他,856,181
刘封,荆州,长沙郡,蜀,545,513
刘馥,豫州,谯郡,魏,674,289
刘汉,豫州,谯郡,晋,684,293
刘徽,青州,济南国,他,746,191
刘理,幽州,涿郡,蜀,673,84
刘伶,豫州,谯郡,晋,666,301
刘琦,兖州,东郡,他,752,215
刘乔,荆州,南阳郡,晋,539,313
刘禅,幽州,涿郡,蜀,651,72
刘劭,冀州,魏郡,魏,636,198
刘焉,荆州,江夏郡,他,605,423
刘繇,青州,东莱郡,他,885,178
刘晔,扬州,淮南郡,魏,743,358
刘永,幽州,涿郡,蜀,677,73
刘虞,徐州,东海郡,他,830,306
留赞,扬州,会稽郡,吴,881,490
刘璋,荆州,江夏郡,蜀,611,429
娄圭,荆州,南阳郡,魏,546,356
陆机,扬州,吴郡,晋,830,417
陆景,扬州,吴郡,吴,801,394
陆凯,扬州,吴郡,吴,823,381
陆抗,扬州,吴郡,吴,827,377
陆瑁,扬州,吴郡,吴,822,394
鲁肃,徐州,下邳郡,吴,758,327
陆逊,扬州,吴郡,吴,878,394
陆胤,扬州,吴郡,吴,854,424
卢植,幽州,涿郡,他,675,60
吕伯奢,司隶,河南尹,他,543,285
吕布,并州,朔方郡,他,425,85
吕岱,徐州,广陵郡,吴,867,355
吕范,豫州,汝南郡,吴,630,377
吕据,豫州,汝南郡,吴,622,384
吕蒙,豫州,汝南郡,吴,649,380
骆统,扬州,会稽郡,吴,865,498
罗宪,荆州,南郡,晋,557,460
马超,司隶,京兆尹,蜀,398,253
马岱,司隶,京兆尹,蜀,424,237
马钧,司隶,京兆尹,魏,432,234
马良,荆州,南郡,蜀,570,438
马日磾,司隶,京兆尹,他,423,246
马谡,荆州,南郡,蜀,554,440
马腾,司隶,京兆尹,他,434,250
满宠,兖州,东郡,魏,669,236
毛玠,兖州,颍川郡,魏,664,265
孟光,司隶,河南尹,蜀,472,274
孟获,益州,建宁郡,蜀,217,579
麋芳,徐州,东海郡,吴,788,286
祢衡,青州,平原郡,他,705,175
麋竺,徐州,东海郡,蜀,809,287
潘濬,荆州,武陵郡,吴,417,502
潘璋,兖州,东郡,吴,736,240
庞德,凉州,安定郡,魏,424,210
逢纪,荆州,南阳郡,他,556,348
庞统,荆州,南郡,蜀,533,427
庞羲,司隶,河南尹,蜀,469,299
裴秀,司隶,河东郡,晋,457,230
彭羕,益州,蜀郡,蜀,268,442
牵弘,冀州,涿郡,晋,637,90
牵招,冀州,涿郡,魏,644,94
桥瑁,豫州,颍川郡,他,642,287
桥玄,豫州,颍川郡,他,620,294
谯周,益州,巴郡,蜀,328,427
秦朗,并州,太原郡,魏,556,167
秦宓,益州,巴西郡,蜀,322,356
秦松,徐州,广陵郡,吴,836,355
秦宜禄,并州,太原郡,魏,509,184
丘力居,幽州,昌黎郡,他,820,34
全琮,扬州,会稽郡,吴,851,465
任峻,司隶,河南尹,魏,490,280
阮籍,兖州,颍川郡,魏,616,278
阮咸,兖州,颍川郡,晋,600,272
沙摩柯,荆州,武陵郡,他,386,506
山涛,司隶,河内郡,晋,662,207
审配,冀州,魏郡,他,604,193
盛宪,扬州,会稽郡,他,868,484
石崇,冀州,勃海郡,晋,687,126
士仁,幽州,广阳郡,吴,706,76
石伟,荆州,南郡,吴,517,415
士燮,交州,苍梧郡,他,480,629
是仪,青州,北海国,吴,783,193
司马防,司隶,河内郡,他,664,194
司马孚,司隶,河内郡,魏,668,198
司马徽,豫州,颍川郡,他,652,263
司马朗,司隶,河内郡,他,667,204
司马亮,司隶,河内郡,晋,676,197
司马伦,司隶,河内郡,晋,659,213
司马师,司隶,河内郡,魏,648,219
司马望,司隶,河内郡,晋,622,233
司马懿,司隶,河内郡,魏,607,236
司马攸,司隶,河内郡,晋,597,239
司马昭,司隶,河内郡,魏,586,259
司马芝,司隶,河内郡,魏,572,254
司马伷,司隶,河内郡,晋,579,262
苏愉,司隶,京兆尹,魏,430,258
苏则,司隶,京兆尹,魏,401,268
孙霸,扬州,吴郡,吴,856,387
孙贲,扬州,吴郡,吴,796,402
孙策,扬州,吴郡,吴,809,412
孙綝,扬州,吴郡,吴,818,416
孙楚,并州,太原郡,晋,528,130
孙奋,扬州,吴郡,吴,837,422
孙辅,扬州,吴郡,吴,806,382
孙皓,扬州,吴郡,吴,881,418
孙桓,扬州,吴郡,吴,887,401
孙坚,扬州,吴郡,吴,864,401
孙皎,扬州,吴郡,吴,862,393
孙静,扬州,吴郡,吴,851,402
孙峻,扬州,吴郡,吴,848,406
孙匡,扬州,吴郡,吴,830,402
孙朗,扬州,吴郡,吴,829,390
孙亮,扬州,吴郡,吴,835,379
孙鲁班,扬州,吴郡,吴,785,401
孙鲁育,扬州,吴郡,吴,808,401
孙干,扬州,吴郡,蜀,806,389
孙权,扬州,吴郡,吴,808,377
孙休,扬州,吴郡,吴,892,415
孙炎,青州,北海国,他,812,189
孙翊,扬州,吴郡,吴,868,402
孙瑜,扬州,吴郡,吴,874,406
蹋顿,幽州,昌黎郡,他,804,44
太史慈,青州,东莱郡,吴,868,171
太史享,青州,东莱郡,吴,851,168
唐咨,徐州,东海郡,魏,802,277
陶璜,扬州,丹阳郡,晋,780,434
陶谦,扬州,丹阳郡,他,763,444
滕修,荆州,南阳郡,晋,546,331
滕胤,青州,北海国,吴,791,188
田丰,冀州,中山郡,他,600,128
田续,幽州,右北平郡,魏,745,93
王弼,兖州,东郡,魏,743,231
王粲,兖州,东郡,魏,748,237
王昶,并州,太原郡,魏,526,145
王蕃,扬州,庐江郡,吴,676,406
王甫,益州,蜀郡,蜀,253,430
王观,兖州,东郡,魏,710,218
王广,并州,太原郡,魏,545,180
王宏,兖州,东郡,晋,642,229
王基,青州,东莱郡,魏,883,186
王经,冀州,河内郡,魏,670,191
王濬,司隶,河南尹,晋,500,278
王匡,兖州,济南国,他,719,190
王连,荆州,南阳郡,蜀,572,324
王凌,并州,太原郡,魏,572,165
王默,并州,太原郡,魏,563,157
王平,益州,巴郡,蜀,364,379
王虔,徐州,东海郡,晋,820,305
王戎,徐州,琅邪国,晋,788,234
王肃,徐州,东海郡,魏,838,298
王祥,徐州,琅邪国,晋,792,223
王修,青州,北海国,魏,812,204
王元姬,徐州,东海郡,晋,787,274
王允,并州,太原郡,他,498,183
王泽,并州,太原郡,魏,516,190
魏讽,豫州,谯郡,他,700,329
卫固,司隶,河东郡,他,472,224
卫瓘,司隶,河东郡,晋,484,228
卫恒,司隶,河东郡,晋,491,231
韦康,司隶,京兆尹,魏,393,281
魏延,扬州,庐江,蜀,710,427
卫兹,兖州,颍川郡,他,631,294
温恢,并州,太原郡,魏,525,138
文聘,荆州,南阳郡,魏,517,308
文钦,豫州,谯郡,吴,711,330
吴班,兖州,陈留郡,蜀,669,258
吾粲,扬州,吴郡,吴,825,370
吴范,扬州,会稽郡,吴,843,476
伍孚,豫州,汝南郡,他,587,390
吴景,扬州,吴郡,吴,872,426
吴康,兖州,颍川郡,晋,650,286
伍琼,豫州,汝南郡,他,587,345
吴懿,兖州,颍川郡,蜀,625,255
吴应,兖州,颍川郡,晋,630,261
吴质,兖州,颍川郡,魏,602,276
郤正,司隶,河南尹,晋,555,288
夏侯霸,豫州,谯郡,蜀,687,311
夏侯惇,豫州,谯郡,魏,686,286
夏侯和,豫州,谯郡,晋,588,311
夏侯楙,豫州,谯郡,魏,587,327
夏侯尚,豫州,谯郡,魏,591,318
夏侯威,豫州,谯郡,魏,591,330
夏侯玄,豫州,谯郡,魏,654,338
夏侯渊,豫州,谯郡,魏,605,337
向宠,荆州,南郡,蜀,531,391
向朗,荆州,南郡,蜀,545,388
向秀,司隶,河内郡,晋,623,234
辛毗,豫州,颍川郡,魏,642,272
辛评,豫州,颍川郡,他,638,278
辛宪英,豫州,颍川郡,他,641,278
邢颙,冀州,河内郡,魏,609,238
许褚,豫州,谯郡,魏,675,339
许慈,荆州,南阳郡,蜀,542,342
徐干,青州,北海国,他,791,202
徐晃,司隶,河东郡,魏,458,243
许靖,豫州,汝南郡,蜀,575,384
徐邈,幽州,广阳郡,魏,721,66
徐平,扬州,会稽郡,吴,894,482
徐荣,幽州,辽东郡,他,886,77
许劭,豫州,汝南郡,他,578,359
徐盛,徐州,琅邪国,吴,804,248
徐庶,豫州,颍川郡,魏,658,252
徐宣,徐州,广陵郡,魏,797,344
薛珝,豫州,谯郡,吴,695,333
薛莹,豫州,谯郡,吴,690,339
荀粲,豫州,颍川郡,魏,649,243
荀谌,豫州,颍川郡,他,661,244
荀爽,豫州,颍川郡,他,666,246
荀勖,豫州,颍川郡,晋,670,268
荀顗,豫州,颍川郡,晋,656,268
荀攸,豫州,颍川郡,魏,656,276
荀彧,豫州,颍川郡,魏,631,248
荀悦,豫州,颍川郡,他,607,270
严白虎,扬州,吴郡,他,872,384
严畯,徐州,彭城国,吴,716,259
阎柔,幽州,广阳郡,魏,709,83
阎行,凉州,金城郡,魏,243,236
严颜,益州,巴郡,蜀,334,434
杨阜,凉州,天水郡,魏,270,271
羊祜,兖州,泰山郡,晋,729,215
羊徽瑜,兖州,泰山郡,晋,741,219
杨骏,司隶,河南尹,晋,571,281
杨戏,益州,犍为郡,蜀,223,501
杨修,司隶,河南尹,魏,573,290
杨仪,荆州,南郡,蜀,539,445
杨肇,司隶,河南尹,晋,550,274
尹默,益州,蜀郡,蜀,235,405
应璩,豫州,汝南郡,魏,615,357
应劭,豫州,汝南郡,他,619,364
虞昺,扬州,会稽郡,吴,882,450
虞翻,扬州,会稽郡,吴,902,453
鱼豢,司隶,京兆尹,魏,413,290
于禁,兖州,东郡,魏,686,233
虞汜,扬州,会稽郡,吴,866,496
虞耸,扬州,会稽郡,晋,877,499
虞忠,扬州,会稽郡,吴,888,498
袁涣,豫州,颍川郡,魏,616,285
袁尚,豫州,汝南郡,他,564,379
袁绍,豫州,汝南郡,他,579,350
袁术,豫州,汝南郡,他,588,351
袁谭,豫州,汝南郡,魏,595,351
袁隗,豫州,汝南郡,他,587,366
袁熙,豫州,汝南郡,他,593,363
袁晔,徐州,广陵郡,吴,820,332
袁遗,豫州,汝南郡,他,607,372
乐广,荆州,南阳郡,晋,521,328
乐进,冀州,魏郡,魏,621,212
臧霸,兖州,东郡,魏,722,225
张布,扬州,吴郡,吴,854,406
张春华,司隶,河内郡,他,627,232
张范,司隶,河内郡,魏,656,217
张飞,幽州,涿郡,蜀,684,102
张郃,冀州,河内郡,魏,672,205
张纮,徐州,广陵郡,吴,818,348
张辽,并州,雁门郡,魏,559,105
张鲁,豫州,谯郡,魏,658,325
张任,益州,蜀郡,他,216,420
张特,幽州,涿郡,魏,663,73
张绣,凉州,武威郡,魏,225,129
张燕,冀州,中山郡,魏,615,123
张杨,并州,雁门郡,他,581,104
张翼,益州,犍为郡,蜀,202,523
张裕,益州,蜀郡,蜀,216,443
张芝,凉州,武威郡,他,197,169
赵岐,司隶,京兆尹,他,426,270
赵谦,益州,蜀郡,他,238,451
赵俨,豫州,颍川郡,魏,622,274
赵云,冀州,中山郡,蜀,584,136
甄皇后,冀州,中山郡,魏,634,131
郑袤,司隶,河南尹,魏,583,280
郑玄,青州,北海国,他,822,201
郑胄,豫州,谯郡,吴,634,317
周昂,扬州,会稽郡,他,842,488
周毖,凉州,武威郡,他,221,144
周处,扬州,吴郡,晋,846,427
周鲂,扬州,吴郡,吴,860,431
周峻,扬州,庐江郡,吴,698,443
周群,益州,巴郡,蜀,332,417
周泰,扬州,九江郡,吴,807,476
周昕,扬州,会稽郡,他,877,469
周瑜,扬州,庐江郡,吴,724,424
朱皇后,扬州,吴郡,吴,792,412
朱桓,扬州,吴郡,吴,880,421
朱据,扬州,吴郡,吴,906,412
朱儁,扬州,会稽郡,他,895,490
朱灵,冀州,魏郡,魏,643,188
朱然,扬州,丹阳郡,吴,809,453
朱异,扬州,吴郡,吴,886,419
朱治,扬州,丹阳郡,吴,770,466
诸葛诞,徐州,琅邪国,魏,811,222
诸葛瑾,徐州,琅邪国,吴,812,232
诸葛恪,徐州,琅邪国,吴,818,224
诸葛亮,徐州,琅邪国,蜀,827,216
诸葛乔,徐州,琅邪国,蜀,841,207
诸葛融,徐州,琅邪国,吴,802,226
诸葛尚,徐州,琅邪国,蜀,822,234
诸葛绪,徐州,琅邪国,晋,830,229
诸葛玄,徐州,琅邪国,他,798,243
诸葛瞻,徐州,琅邪国,蜀,784,248
宗预,荆州,南阳郡,蜀,549,360
左慈,扬州,庐江郡,他,649,467
张角,冀州,中山郡,他,648,124
