name_en,name_zh,url
Bao Xin,鲍信,Other
Bao Xun,鲍勋,Wei
Bi Chen,毕谌,Wei
Bi Gui,毕轨,Wei
Bu Lianshi,步练师,Wu
Bu Zhi,步骘,Wu
Budugen,步度根,Other
Cai Mao,蔡瑁,Wei
Cai Yong,蔡邕,Other
Cang Ci,仓慈,Wei
Cao Ang,曹昂,Wei
Cao Bao,曹豹,Other
Cao Biao,曹彪,Wei
Cao Buxing,曹不兴,Other
Cao Cao,曹操,Wei
Cao Chong,曹冲,Wei
Cao Chun,曹纯,Wei
Cao Fang,曹芳,Wei
Cao Gan,曹干,Wei
Cao Gong,曹贡,Wei
Cao Gun,曹衮,Wei
Cao Hong,曹洪,Wei
Cao Huan,曹奂,Wei
Cao Hui,曹徽,Wei
Cao Jian,曹鉴,Wei
Cao Jie,曹节,Other
Cao Ju,曹矩,Wei
Cao Jun,曹均,Wei
Cao Li,曹礼,Wei
Cao Lin,曹霖,Wei
Cao Mao,曹髦,Wei
Cao Pi,曹丕,Wei
Cao Ren,曹仁,Wei
Cao Rui,曹叡,Wei
Cao Shuang,曹爽,Wei
Cao Shuo,曹铄,Wei
Cao Song,曹嵩,Other
Cao Teng,曹腾,Other
Cao Xie,曹协,Wei
Cao Xing,曹性,Other
Cao Xiong,曹熊,Wei
Cao Xiu,曹休,Wei
Cao Xuan,曹玹,Wei
Cao Yan,曹俨,Wei
Cao Yong,曹邕,Wei
Cao Yu,曹宇,Wei
Cao Zhang,曹彰,Wei
Cao Zhen,曹真,Wei
Cao Zhi,曹植,Wei
Cao Zicheng,曹子乘,Wei
Cao Ziji,曹子棘,Wei
Cao Zijing,曹子京,Wei
Cao Ziqin,曹子勤,Wei
Cao Zishang,曹子上,Wei
Cao Zizheng,曹子整,Wei
Cen Hun,岑昏,Wu
Chen Biao,陈表,Wu
Chen Dao,陈到,Shu
Chen Deng,陈登,Wei
Chen Gong,陈宫,Other
Chen Gui,陈珪,Wei
Chen Ji,陈纪,Other
Chen Lin,陈琳,Wei
Chen Qun,陈群,Wei
Chen Shi,陈式,Shu
Chen Shou,陈寿,Jin
Chen Tai,陈泰,Wei
Chen Wu,陈武,Wu
Chen Zhen,陈震,Shu
Chen Zhi,陈祗,Shu
Cheng Bing,程秉,Wu
Cheng Ji,程畿,Shu
Cheng Pu,程普,Wu
Cheng Yu,程昱,Wei
Chenggong Ying,成公英,Wei
Chunyu Qiong,淳于琼,Other
Cui Lin,崔林,Wei
Cui Yan,崔琰,Wei
Deng Ai,邓艾,Wei
Deng Yang,邓飏,Wei
Deng Zhi,邓芝,Shu
Deng Zhong,邓忠,Wei
Dian Man,典满,Wei
Dian Wei,典韦,Wei
Ding Feng,丁奉,Wu
Ding Yi,丁仪,Wei
Ding Yuan,丁原,Other
Empress Dowager Dong,董太后,Other
Dong Cheng,董承,Other
Dong Jue,董厥,Shu
Dong Min,董旻,Other
Dong Xi,董袭,Wu
Dong Yun,董允,Shu
Dong Zhao,董昭,Wei
Dong Zhuo,董卓,Other
Du Ji,杜畿,Wei
Du Kui,杜夔,Wei
Du Qiong,杜琼,Shu
Du Wei,杜微,Shu
Du Xi,杜袭,Wei
Du Yu,杜预,Jin
Fa Zhen,法真,Other
Fa Zheng,法正,Shu
Fan Changsheng,范长生,Other
Fan Chou,樊稠,Other
Fan Jian,樊建,Shu
Fei Shi,费诗,Shu
Fei Yao,费曜,Wei
Fei Yi,费祎,Shu
Feng Xi,冯习,Shu
Fu Jia,傅嘏,Wei
Fu Qian,傅佥,Shu
Fu Rong,傅肜,Shu
Fu Shou,伏寿,Other
Fu Xuan,傅玄,Jin
Fu Xun,傅巽,Wei
Lady Gan,甘氏,Shu
Gan Ji,干吉,Other
Gan Ning,甘宁,Wu
Gao Gan,高干,Wei
Gao Rou,高柔,Wei
Gao Shun,高顺,Other
Gao Xiang,高翔,Shu
Ge Xuan,葛玄,Other
Gong Lu,龚禄,Shu
Gongsun Du,公孙度,Other
Gongsun Gong,公孙恭,Wei
Gongsun Kang,公孙康,Wei
Gongsun Yuan,公孙渊,Other
Gongsun Zan,公孙瓒,Other
Gu Cheng,顾承,Wu
Gu Hui,顾徽,Wu
Gu Li,谷利,Wu
Gu Shao,顾邵,Wu
Gu Tan,顾谭,Wu
Gu Ti,顾悌,Wu
Gu Yong,顾雍,Wu
Guan Jing,关靖,Other
Guan Lu,管辂,Other
Guan Ning,管宁,Wei
Guan Ping,关平,Shu
Guan Xing,关兴,Shu
Guan Yu,关羽,Shu
Guanqiu Jian,毌丘俭,Wei
Empress Guo,郭皇后,Wei
Guo Chong,郭冲,Jin
Guo Huai,郭淮,Wei
Guo Jia,郭嘉,Wei
Guo Nüwang,郭女王,Wei
Guo Pei,郭配,Wei
Guo Si,郭汜,Other
Guo Tu,郭图,Other
Guo Youzhi,郭攸之,Shu
Guo Yuan,国渊,Wei
Guo Zhi,郭智,Wei
Han Dang,韩当,Wu
Han Fu,韩馥,Other
Han Hao,韩浩,Wei
Han Ji,韩暨,Wei
Han Sui,韩遂,Other
Han Xian,韩暹,Other
Han Xuan,韩玄,Shu
Hao Meng,郝萌,Other
Hao Zhao,郝昭,Wei
Empress He,何皇后,Other
Empress Dowager He,何太后,Wu
He Jin,何进,Other
He Qi,贺齐,Wu
He Qia,和洽,Wei
He Yan,何晏,Wei
He Yong,何颙,Other
Hou Cheng,侯成,Wei
Hou Lan,侯览,Other
Hu Ji,胡济,Shu
Hu Zhen,胡轸,Other
Hu Zong,胡综,Wu
Hua Dan,华澹,Jin
Hua He,华覈,Wu
Hua Tuo,华佗,Other
Hua Xin,华歆,Wei
Hua Xiong,华雄,Other
Huan Fan,桓范,Wei
Huan Jie,桓阶,Wei
Lady Huang,黄氏,Other
Huang Chengyan,黄承彦,Other
Huang Gai,黄盖,Wu
Huang Hao,黄皓,Shu
Huang Quan,黄权,Wei
Huang Zhong,黄忠,Shu
Huang Zu,黄祖,Other
Huangfu Mi,皇甫谧,Jin
Huangfu Song,皇甫嵩,Other
Huchuquan,呼厨泉,Other
Huo Jun,霍峻,Shu
Huo Yi,霍弋,Wei
Ji Ben,吉本,Other
Ji Kang,嵇康,Wei
Ji Ling,纪灵,Other
Ji Yan,暨艳,Wu
Jia Chong,贾充,Jin
Jia Kui,贾逵,Wei
Jia Xu,贾诩,Wei
Jian Shuo,蹇硕,Other
Jian Yong,简雍,Shu
Jiang Gan,蒋干,Wei
Jiang Ji,蒋济,Wei
Jiang Qin,蒋钦,Wu
Jiang Wan,蒋琬,Shu
Jiang Wei,姜维,Shu
Jiang Xu,姜叙,Other
Jin Xuan,金旋,Shu
Ju Shou,沮授,Other
Kan Ze,阚泽,Wu
Kang Senghui,康僧会,Other
Kang Tai,康泰,Wu
Kebineng,轲比能,Other
Kong Rong,孔融,Other
Kong Zhou,孔伷,Other
Kuai Liang,蒯良,Other
Kuai Yue,蒯越,Wei
Lai Min,来敏,Shu
Li Dian,李典,Wei
Li Feng,李丰,Wei
Li Fu,李福,Shu
Li Hui,李恢,Shu
Li Jue,李傕,Other
Li Miao,李邈,Shu
Li Ru,李儒,Other
Li Sheng,李胜,Wei
Li Su,李肃,Other
Li Tong,李通,Wei
Li Xiu,李休,Wei
Li Yan,李严,Shu
Li Yin,李胤,Jin
Li Zhuan,李譔,Shu
Liang Mao,凉茂,Wei
Liang Xi,梁习,Wei
Liang Yu,梁寓,Wu
Liao Hua,廖化,Shu
Liao Li,廖立,Shu
Ling Cao,凌操,Wu
Ling Tong,凌统,Wu
Liu Ba,刘巴,Shu
Liu Bao,刘豹,Other
Liu Bei,刘备,Shu
Liu Bian,刘辩,Other
Liu Biao,刘表,Other
Liu Chen,刘谌,Shu
Liu Chong,刘宠,Other
Liu Cong,刘琮,Wei
Liu Dai,刘岱,Other
Liu Du,刘度,Shu
Liu Feng,刘封,Shu
Liu Fu,刘馥,Wei
Liu Han,刘汉,Jin
Liu Hui,刘徽,Other
Liu Ji,刘基,Wu
Liu Li,刘理,Shu
Liu Ling,刘伶,Jin
Liu Qi,刘琦,Other
Liu Qiao,刘乔,Jin
Liu Shan,刘禅,Shu
Liu Shao,刘劭,Wei
Liu Xuan,刘璇/刘璿,Shu
Liu Xun,刘勋,Other
Liu Yan,刘琰,Shu
Liu Yao,刘繇,Other
Liu Ye,刘晔,Wei
Liu Yong,刘永,Shu
Liu Yu,刘虞,Other
Liu Zan,留赞,Wu
Liu Zhang,刘璋,Shu
Lou Gui,娄圭,Wei
Lu Ji,陆绩,Wu
Lu Ji,陆机,Jin
Lu Jing,陆景,Wu
Lu Kai,陆凯,Wu
Lu Kang,陆抗,Wu
Lu Mao,陆瑁,Wu
Lu Su,鲁肃,Wu
Lu Ting,卢挺,Jin
Lu Xun,陆逊,Wu
Lu Yin,陆胤,Wu
Lu Zhi,卢植,Other
Lü Boshe,吕伯奢,Other
Lü Bu,吕布,Other
Lü Dai,吕岱,Wu
Lü Fan,吕范,Wu
Lü Ju,吕据,Wu
Lü Kai,吕凯,Shu
Lü Meng,吕蒙,Wu
Lü Yi,吕壹,Wu
Luo Tong,骆统,Wu
Luo Xian,罗宪,Jin
Ma Chao,马超,Shu
Ma Dai,马岱,Shu
Ma Jun,马钧,Wei
Ma Liang,马良,Shu
Ma Midi,马日磾,Other
Ma Su,马谡,Shu
Ma Teng,马腾,Other
Ma Zhong,马忠,Shu
Man Chong,满宠,Wei
Empress Mao,毛皇后,Wei
Mao Jie,毛玠,Wei
Meng Da,孟达,Wei
Meng Guang,孟光,Shu
Meng Huo,孟获,Shu
Lady Mi,麋氏,Shu
Mi Fang,麋芳,Wu
Mi Heng,祢衡,Other
Mi Zhu,麋竺,Shu
Niu Fu,牛辅,Other
Niu Jin,牛金,Wei
Empress Pan,潘皇后,Wu
Pan Jun,潘濬,Wu
Pan Zhang,潘璋,Wu
Pang De,庞德,Wei
Pang Ji,逢纪,Other
Pang Tong,庞统,Shu
Pang Xi,庞羲,Shu
Pei Xiu,裴秀,Jin
Peng Yang,彭羕,Shu
Puyang Xing,濮阳兴,Wu
Qian Hong,牵弘,Jin
Qian Zhao,牵招,Wei
Qiao Mao,桥瑁,Other
Qiao Xuan,桥玄,Other
Qiao Zhou,谯周,Shu
Qin Lang,秦朗,Wei
Qin Mi,秦宓,Shu
Qin Song,秦松,Wu
Qin Yilu,秦宜禄,Wei
Qiuliju,丘力居,Other
Qu Yi,麴义,Other
Quan Cong,全琮,Wu
Quan Huijie,全惠解,Wu
Ren Jun,任峻,Wei
Ruan Ji,阮籍,Wei
Ruan Xian,阮咸,Jin
Shamoke,沙摩柯,Other
Shan Tao,山涛,Jin
Shen Pei,审配,Other
Sheng Xian,盛宪,Other
Shi Chong,石崇,Jin
Shi Ji,施绩,Wu
Shi Ren,士仁,Wu
Shi Wei,石伟,Wu
Shi Xie,士燮,Other
Shi Yi,是仪,Wu
Sima Fang,司马防,Other
Sima Fu,司马孚,Wei
Sima Hui,司马徽,Other
Sima Lang,司马朗,Other
Sima Liang,司马亮,Jin
Sima Lun,司马伦,Jin
Sima Shi,司马师,Wei
Sima Wang,司马望,Jin
Sima Yi,司马懿,Wei
Sima You,司马攸,Jin
Sima Zhao,司马昭,Wei
Sima Zhi,司马芝,Wei
Sima Zhou,司马伷,Jin
Song Qian,宋谦,Wu
Su Yu,苏愉,Wei
Su Ze,苏则,Wei
Lady Sun,孙氏,Wu
Sun Ba,孙霸,Wu
Sun Ben,孙贲,Wu
Sun Ce,孙策,Wu
Sun Chen,孙綝,Wu
Sun Chu,孙楚,Jin
Sun Deng,孙登,Wu
Sun Fen,孙奋,Wu
Sun Fu,孙辅,Wu
Sun Hao,孙皓,Wu
Sun Huan,孙奂,Wu
Sun Huan,孙桓,Wu
Sun Jian,孙坚,Wu
Sun Jiao,孙皎,Wu
Sun Jing,孙静,Wu
Sun Jun,孙峻,Wu
Sun Kuang,孙匡,Wu
Sun Lang,孙朗,Wu
Sun Li,孙礼,Wei
Sun Liang,孙亮,Wu
Sun Lü,孙虑,Wu
Sun Luban,孙鲁班,Wu
Sun Luyu,孙鲁育,Wu
Sun Qian,孙干,Shu
Sun Quan,孙权,Wu
Sun Shao,孙邵,Wu
Sun Xiu,孙休,Wu
Sun Yan,孙炎,Other
Sun Yi,孙翊,Wu
Sun Yu,孙瑜,Wu
Sun Zheng,孙拯,Jin
Tadun,蹋顿,Other
Taishi Ci,太史慈,Wu
Taishi Xiang,太史享,Wu
Consort Tang,唐氏,Other
Tang Zi,唐咨,Wei
Tao Huang,陶璜,Jin
Tao Jun,陶浚/陶濬,Wu
Tao Qian,陶谦,Other
Teng Fanglan,滕芳兰,Wu
Teng Xiu,滕修,Jin
Teng Yin,滕胤,Wu
Tian Feng,田丰,Other
Tian Kai,田楷,Other
Tian Xu,田续,Wei
Tian Yu,田豫,Wei
Tuoba Liwei,拓跋力微,Other
Wan Yu,万彧,Wu
Empress Wang,王皇后,Wei
Wang Bi,王弼,Wei
Wang Can,王粲,Wei
Wang Chang,王昶,Wei
Wang Fan,王蕃,Wu
Wang Fu,王甫,Shu
Wang Guan,王观,Wei
Wang Guang,王广,Wei
Wang Hong,王宏,Jin
Wang Ji,王基,Wei
Wang Jing,王经,Wei
Wang Jun,王濬,Jin
Wang Kuang,王匡,Other
Wang Lang,王朗,Wei
Wang Lian,王连,Shu
Wang Ling,王凌,Wei
Wang Mo,王默,Wei
Wang Ping,王平,Shu
Wang Qian,王虔,Jin
Wang Rong,王戎,Jin
Wang Shuang,王双,Wei
Wang Su,王肃,Wei
Wang Tu,王图,Wei
Wang Xiang,王祥,Jin
Wang Xiu,王修,Wei
Wang Ye,王业,Jin
Wang Yi,王异,Other
Wang Yuanji,王元姬,Jin
Wang Yun,王允,Other
Wang Ze,王泽,Wei
Wang Zhong,王忠,Wei
Wei Feng,魏讽,Other
Wei Gu,卫固,Other
Wei Guan,卫瓘,Jin
Wei Heng,卫恒,Jin
Wei Kang,韦康,Wei
Wei Shu,魏舒,Jin
Wei Yan,魏延,Shu
Wei Zhao,韦昭/韦曜,Wu
Wei Zi,卫兹,Other
Wen Chou,文丑,Other
Wen Hui,温恢,Wei
Wen Ping,文聘,Wei
Wen Qin,文钦,Wu
Wen Yang,文鸯,Jin
Empress Wu,吴皇后,Shu
Lady Wu,吴氏,Wu
Wu Ban,吴班,Shu
Wu Can,吾粲,Wu
Wu Fan,吴范,Wu
Wu Fu,伍孚,Other
Wu Jing,吴景,Wu
Wu Kang,吴康,Jin
