p1,p2,count
5,389,41
5,371,5
5,366,6
5,375,5
5,628,2
5,243,5
5,280,7
5,624,1
5,621,2
5,136,2
5,629,2
5,134,1
5,406,1
5,334,1
5,384,1
5,374,2
5,525,1
5,276,2
5,630,1
5,14,1
5,572,2
14,243,17
14,389,8
14,472,1
14,550,26
14,202,2
14,166,2
14,94,7
14,249,1
14,551,5
14,403,2
14,59,5
14,580,3
14,523,1
14,88,1
14,513,1
14,245,5
14,588,5
14,225,4
14,129,1
14,142,1
14,543,1
14,552,4
14,119,3
14,549,3
14,554,1
14,248,1
14,579,3
14,609,1
14,159,1
14,293,1
14,479,1
14,31,5
14,572,1
14,48,2
14,22,1
17,33,10
17,355,10
17,34,16
17,357,9
17,79,1
17,228,1
17,169,1
17,603,1
17,428,1
17,389,1
17,384,1
17,629,2
17,478,1
17,577,3
17,359,2
21,14,39
21,94,2
21,580,1
21,59,1
21,513,2
21,88,1
21,551,1
21,588,3
21,245,2
21,550,4
21,573,3
21,243,1
21,572,2
21,293,4
21,579,1
21,41,4
21,524,2
21,31,17
21,47,9
21,469,4
21,33,2
21,159,1
22,14,1
22,31,1
22,30,2
22,359,4
22,208,3
22,608,4
22,78,2
22,260,1
30,31,3
30,359,27
30,357,1
30,34,1
30,355,8
30,17,2
30,577,1
30,478,1
30,33,2
30,143,3
30,456,5
30,608,2
30,627,3
30,423,1
30,199,1
30,22,1
31,14,21
31,550,2
31,554,2
31,603,7
31,243,8
31,389,15
31,63,2
31,33,6
31,48,9
31,245,1
31,142,3
31,280,2
31,371,1
31,630,1
31,260,1
31,543,8
31,47,1
31,357,1
32,14,36
32,31,9
32,94,1
32,551,1
32,403,4
32,225,1
32,150,1
32,588,6
32,550,5
32,243,5
32,389,6
32,493,3
32,618,2
32,293,1
32,159,1
32,142,6
32,543,2
32,578,1
33,603,5
33,554,4
33,31,16
33,17,5
33,34,4
33,357,5
33,14,3
33,550,1
33,48,1
33,47,1
33,63,1
33,630,2
33,243,1
33,389,4
33,207,1
33,108,1
33,41,4
33,128,3
33,143,1
33,94,1
34,47,1
34,357,22
34,33,3
34,17,4
34,629,2
34,389,1
34,108,1
34,228,5
34,79,1
41,14,14
41,572,6
41,293,6
41,94,1
41,31,15
41,243,3
41,479,1
41,21,5
41,472,1
41,389,3
41,578,1
41,33,8
41,357,1
41,17,2
41,559,2
41,240,3
41,118,1
47,14,20
47,31,11
47,33,14
47,551,1
47,243,5
47,21,4
47,41,1
47,479,1
47,493,2
47,573,3
47,624,3
47,315,1
47,469,7
47,63,1
47,357,12
47,630,8
47,601,2
47,298,2
47,478,1
47,34,5
47,17,1
47,237,1
47,450,1
48,14,13
48,31,17
48,32,1
48,142,1
48,33,3
48,179,2
59,14,35
59,94,4
59,403,1
59,580,1
59,243,5
59,121,1
59,270,1
60,551,15
60,243,1
60,14,7
60,523,4
63,31,6
63,357,2
63,47,2
63,33,7
63,64,2
63,216,1
63,243,4
63,403,1
63,551,1
63,14,12
63,609,1
63,426,1
63,265,1
64,243,10
64,493,1
64,14,1
64,389,3
64,260,1
64,630,5
64,146,1
64,479,1
64,450,1
65,186,2
65,630,17
65,100,2
65,469,1
65,636,4
65,298,1
78,357,4
78,146,4
78,355,4
78,143,2
78,456,4
78,208,29
78,636,5
78,260,12
78,608,10
78,446,6
78,359,7
78,14,1
78,64,2
78,237,2
78,629,5
78,389,1
78,30,1
78,380,1
78,627,1
78,634,6
78,423,1
78,550,2
78,391,2
78,94,1
78,100,3
78,65,1
79,478,1
79,627,1
79,33,2
79,17,3
79,34,10
79,357,6
79,228,1
83,14,30
83,588,8
83,580,3
83,94,1
83,472,4
