name_en,name_zh,url
Bao Xin,鲍信,/wiki/Bao_Xin
Bao Xun,鲍勋,/wiki/Bao_Xun
Bi Chen,毕谌,/wiki/Bi_Chen
Bi Gui,毕轨,/wiki/Bi_Gui
Bu Lianshi,步练师,/wiki/Bu_Lianshi
Bu Zhi,步骘,/wiki/Bu_Zhi
Budugen,步度根,/wiki/Budugen
Cai Mao,蔡瑁,/wiki/Cai_Mao
Cai Yong,蔡邕,/wiki/Cai_Yong
Cang Ci,仓慈,/wiki/Cang_Ci
Cao Ang,曹昂,/wiki/Cao_Ang
Cao Bao,曹豹,/wiki/Cao_Bao
Cao Biao,曹彪,/wiki/Cao_Biao
Cao Buxing,曹不兴,/wiki/Cao_Buxing
Cao Cao,曹操,/wiki/Cao_Cao
Cao Chong,曹冲,/wiki/Cao_Chong
Cao Chun,曹纯,/wiki/Cao_Chun
Cao Fang,曹芳,/wiki/Cao_Fang
Cao Gan,曹干,/wiki/Cao_Gan
Cao Gong,曹贡,/wiki/Cao_Gong
Cao Gun,曹衮,/wiki/Cao_Gun
Cao Hong,曹洪,/wiki/Cao_Hong
Cao Huan,曹奂,/wiki/Cao_Huan
Cao Hui,曹徽,/wiki/Cao_Hui_(Prince_of_Dongping)
Cao Jian,曹鉴,/wiki/Cao_Jian
Cao Jie,曹节,/wiki/Empress_Cao_Jie
Cao Ju,曹矩,/wiki/Cao_Ju_(Prince_of_Fanyang)
Cao Jun,曹均,/wiki/Cao_Jun_(Duke_of_Fan)
Cao Li,曹礼,/wiki/Cao_Li
Cao Lin,曹霖,/wiki/Cao_Lin_(Prince_of_Donghai)
Cao Mao,曹髦,/wiki/Cao_Mao
Cao Pi,曹丕,/wiki/Cao_Pi
Cao Ren,曹仁,/wiki/Cao_Ren
Cao Rui,曹叡,/wiki/Cao_Rui
Cao Shuang,曹爽,/wiki/Cao_Shuang
Cao Shuo,曹铄,/wiki/Cao_Shuo_(Cao_Cao%27s_son)
Cao Song,曹嵩,/wiki/Cao_Song
Cao Teng,曹腾,/wiki/Cao_Teng
Cao Xie,曹协,/wiki/Cao_Xie
Cao Xing,曹性,/wiki/Cao_Xing
Cao Xiong,曹熊,/wiki/Cao_Xiong
Cao Xiu,曹休,/wiki/Cao_Xiu
Cao Xuan,曹玹,/wiki/Cao_Xuan_(Cao_Cao%27s_son)
Cao Yan,曹俨,/wiki/Cao_Yan
Cao Yong,曹邕,/wiki/Cao_Yong_(Three_Kingdoms)
Cao Yu,曹宇,/wiki/Cao_Yu_(Three_Kingdoms)
Cao Zhang,曹彰,/wiki/Cao_Zhang
Cao Zhen,曹真,/wiki/Cao_Zhen
Cao Zhi,曹植,/wiki/Cao_Zhi
Cao Zicheng,曹子乘,/wiki/Cao_Zicheng
Cao Ziji,曹子棘,/wiki/Cao_Ziji
Cao Zijing,曹子京,/wiki/Cao_Zijing
Cao Ziqin,曹子勤,/wiki/Cao_Ziqin
Cao Zishang,曹子上,/wiki/Cao_Zishang
Cao Zizheng,曹子整,/wiki/Cao_Zizheng
Cen Hun,岑昏,/wiki/Cen_Hun
Chen Biao,陈表,/wiki/Chen_Biao
Chen Dao,陈到,/wiki/Chen_Dao
Chen Deng,陈登,/wiki/Chen_Deng
Chen Gong,陈宫,/wiki/Chen_Gong
Chen Gui,陈珪,/wiki/Chen_Gui
Chen Ji,陈纪,/wiki/Chen_Ji_(Chen_Shi%27s_son)
Chen Lin,陈琳,/wiki/Chen_Lin_(Han_dynasty)
Chen Qun,陈群,/wiki/Chen_Qun
Chen Shi,陈式,/wiki/Chen_Shi_(Three_Kingdoms)
Chen Shou,陈寿,/wiki/Chen_Shou
Chen Tai,陈泰,/wiki/Chen_Tai
Chen Wu,陈武,/wiki/Chen_Wu_(Han_dynasty)
Chen Zhen,陈震,/wiki/Chen_Zhen_(Three_Kingdoms)
Chen Zhi,陈祗,/wiki/Chen_Zhi_(Three_Kingdoms)
Cheng Bing,程秉,/wiki/Cheng_Bing
Cheng Ji,程畿,/wiki/Cheng_Ji_(Shu_Han)
Cheng Pu,程普,/wiki/Cheng_Pu
Cheng Yu,程昱,/wiki/Cheng_Yu
Chenggong Ying,成公英,/wiki/Chenggong_Ying
Chunyu Qiong,淳于琼,/wiki/Chunyu_Qiong
Cui Lin,崔林,/wiki/Cui_Lin
Cui Yan,崔琰,/wiki/Cui_Yan
Deng Ai,邓艾,/wiki/Deng_Ai
Deng Yang,邓飏,/wiki/Deng_Yang
Deng Zhi,邓芝,/wiki/Deng_Zhi
Deng Zhong,邓忠,/wiki/Deng_Zhong_(Three_Kingdoms)
Dian Man,典满,/wiki/Dian_Man
Dian Wei,典韦,/wiki/Dian_Wei
Ding Feng,丁奉,/wiki/Ding_Feng_(general)
Ding Yi,丁仪,/wiki/Ding_Yi_(Han_dynasty)
Ding Yuan,丁原,/wiki/Ding_Yuan
Empress Dowager Dong,董太后,/wiki/Empress_Dowager_Dong
Dong Cheng,董承,/wiki/Dong_Cheng_(Han_dynasty)
Dong Jue,董厥,/wiki/Dong_Jue
Dong Min,董旻,/wiki/Dong_Min
Dong Xi,董袭,/wiki/Dong_Xi
Dong Yun,董允,/wiki/Dong_Yun
Dong Zhao,董昭,/wiki/Dong_Zhao_(Three_Kingdoms)
Dong Zhuo,董卓,/wiki/Dong_Zhuo
Du Ji,杜畿,/wiki/Du_Ji
Du Kui,杜夔,/wiki/Du_Kui
Du Qiong,杜琼,/wiki/Du_Qiong_(Three_Kingdoms)
Du Wei,杜微,/wiki/Du_Wei_(Three_Kingdoms)
Du Xi,杜袭,/wiki/Du_Xi
Du Yu,杜预,/wiki/Du_Yu
Fa Zhen,法真,/wiki/Fa_Zhen
Fa Zheng,法正,/wiki/Fa_Zheng
Fan Changsheng,范长生,/wiki/Fan_Changsheng
Fan Chou,樊稠,/wiki/Fan_Chou
Fan Jian,樊建,/wiki/Fan_Jian
Fei Shi,费诗,/wiki/Fei_Shi
Fei Yao,费曜,/wiki/Fei_Yao
Fei Yi,费祎,/wiki/Fei_Yi
Feng Xi,冯习,/wiki/Feng_Xi
Fu Jia,傅嘏,/wiki/Fu_Jia
Fu Qian,傅佥,/wiki/Fu_Qian
